,type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0,0.0,77.0,3,4,3,0.0,2754.0,1,0,1,0.0,0.0,4.94
1,0.0,30.0,3,4,3,0.0,1738.0,1,0,1,2.0,2.0,1.55
2,0.0,107.0,3,3,3,3.0,1640.0,0,0,1,0.0,2.0,1.25
3,0.0,44.0,2,2,3,1.0,654.0,0,0,1,1.0,1.0,0.41
4,0.0,101.0,2,2,3,3.0,1491.0,0,1,1,2.0,2.0,1.2
5,0.0,107.0,3,3,2,3.0,1578.0,0,0,1,1.0,0.0,1.23
6,0.0,91.0,3,3,3,1.0,1833.0,1,0,1,1.0,0.0,2.1
7,0.0,10.0,2,2,3,1.0,1089.0,0,0,1,0.0,1.0,0.8
8,0.0,115.0,2,2,0,3.0,481.0,0,0,1,1.0,1.0,0.25
9,1.0,59.0,6,6,3,0.0,2883.68,1,1,2,0.0,1.0,4.45
10,0.0,73.0,3,3,3,1.0,1630.0,0,0,1,2.0,1.0,2.41
11,0.0,85.0,3,3,3,1.0,1950.0,1,0,1,2.0,2.0,1.64
12,0.0,99.0,2,2,2,3.0,1199.0,0,0,0,1.0,1.0,0.75
13,0.0,85.0,2,2,3,0.0,1426.0,0,0,0,1.0,0.0,1.3
14,0.0,116.0,2,2,3,1.0,1361.0,0,0,1,1.0,0.0,1.5
15,0.0,91.0,3,3,3,3.0,1735.0,0,0,1,1.0,2.0,1.4
16,0.0,15.0,3,3,3,3.0,1661.0,0,0,1,0.0,2.0,1.3
17,0.0,115.0,2,2,2,3.0,616.0,0,0,0,1.0,0.0,0.32
18,1.0,29.0,4,4,2,2.0,4519.2,1,1,1,1.0,1.0,7.2
19,0.0,16.0,3,3,2,3.0,2303.0,1,0,1,0.0,2.0,1.63
20,0.0,108.0,3,4,3,3.0,1786.0,1,0,1,2.0,1.0,1.5
21,0.0,16.0,3,4,3,3.0,2100.0,1,0,0,0.0,0.0,2.1
22,0.0,81.0,2,2,3,1.0,1127.0,0,0,1,1.0,2.0,1.15
23,0.0,20.0,3,4,2,3.0,2200.0,1,0,1,2.0,2.0,2.58
24,0.0,13.0,4,6,3,3.0,1535.0,1,0,1,0.0,0.0,1.5
25,0.0,99.0,3,3,3,3.0,1600.0,1,0,0,0.0,2.0,1.76
26,0.0,96.0,3,4,3,3.0,1558.0,1,0,1,2.0,0.0,2.35
27,0.0,105.0,3,3,3,1.0,1288.0,0,0,1,1.0,1.0,1.25
28,0.0,96.0,2,2,3,3.0,955.0,0,0,1,2.0,1.0,0.82
29,0.0,64.0,4,5,3,3.0,3000.0,1,0,0,0.0,2.0,6.5
30,0.0,110.0,3,4,2,3.0,1350.0,0,0,0,2.0,0.0,1.25
31,0.0,76.0,3,2,2,3.0,630.0,0,0,1,1.0,1.0,0.42
32,0.0,109.0,3,3,2,4.0,140.0,0,0,1,1.0,0.0,0.7
33,0.0,8.0,3,3,3,0.0,1946.0,1,0,1,1.0,2.0,0.85
34,0.0,113.0,2,2,2,1.0,473.0,0,0,1,2.0,1.0,0.32
35,0.0,107.0,2,2,3,2.0,1199.0,0,0,1,2.0,2.0,0.64
36,0.0,43.0,2,2,3,1.0,86.0,0,0,1,2.0,1.0,1.2
37,0.0,115.0,2,2,3,1.0,978.0,0,0,1,2.0,2.0,0.85
38,1.0,27.0,6,5,3,2.0,1441.84,0,0,1,1.0,1.0,3.5
39,0.0,9.0,3,3,3,3.0,2200.0,1,0,1,1.0,0.0,2.61
40,0.0,80.0,3,3,2,1.0,1346.0,0,1,0,2.0,2.0,1.62
41,0.0,97.0,4,6,3,3.0,4425.0,1,0,0,2.0,0.0,3.0
42,0.0,14.0,4,5,3,3.0,2505.0,1,0,1,2.0,2.0,1.7
43,0.0,82.0,4,4,3,0.0,2172.0,1,0,1,1.0,2.0,2.6
44,0.0,107.0,4,4,3,3.0,2726.0,1,0,1,2.0,0.0,1.88
45,0.0,13.0,3,4,3,3.0,1305.0,1,0,1,1.0,2.0,1.15
46,1.0,48.0,5,5,3,3.0,1900.0,0,0,1,1.0,1.0,2.5
47,0.0,82.0,3,3,2,3.0,1428.0,0,0,0,2.0,1.0,1.55
